description,amount,category,type,date
Ola cab booking to client meeting confirmed,4678,Travel,expense,2025-08-29
escape room booking with friends - noted,3797,Entertainment,expense,2025-09-29
Board game cafe outing this month,1759,Entertainment,expense,2025-02-16
Auto rickshaw fare to market again,5903,Travel,expense,2024-12-25
Credit card bill payment today,27742,Others,expense,2025-09-16
Theme park annual pass today,2811,Entertainment,expense,2025-01-05
Salary credited for October 2025 again,20718,Salary,income,2023-01-02
ANNUAL INCREMENT SALARY CREDITED,184417,Salary,income,2023-03-12
Bought clothes from Van Heusen this month,16122,Shopping,expense,2023-06-02
ZOMATO LUNCH ORDER (cash),1598,Food,expense,2025-12-23
monthly rent paid to landlord confirmed,17225,Rent,expense,2026-03-27
Salary credited for July 2023 for family,183322,Salary,income,2025-12-17
annual increment salary credited for family,80560,Salary,income,2023-06-24
Salary credited for November 2024 done,82033,Salary,income,2024-01-16
Weekly groceries from Spencer's for family,600,Food,expense,2025-07-20
family movie night at local multiplex today,258,Entertainment,expense,2025-10-21
Salary credited for October 2024 again,13234,Salary,income,2023-08-28
Nykaa shopping haul completed,1762,Shopping,expense,2024-02-27
part time job salary credited,100280,Salary,income,2023-10-20
Salary credited for February 2025 - noted,143590,Salary,income,2025-09-27
stock market profit withdrawn today,10887,Others,income,2024-10-17
House rent for October done,24834,Rent,expense,2023-06-29
train ticket booked to bengaluru via irctc,18480,Travel,expense,2026-08-06
breakfast at highway dhaba,1463,Food,expense,2024-09-12
family movie night at INOX - noted,6841,Entertainment,expense,2025-07-11
ferry ticket booking completed,310,Travel,expense,2024-01-03
Dinner at dhaba via GPay,1294,Food,expense,2026-02-28
Winter clothes bought from Max Fashion urgent,32101,Shopping,expense,2025-03-28
Salary credited for August 2025 done,24289,Salary,income,2024-09-12
late night Pizza Hut order confirmed,1602,Food,expense,2026-01-15
FLIPKART PURCHASE,223,Shopping,expense,2023-06-03
BOUGHT CLOTHES FROM PANTALOONS,39017,Shopping,expense,2024-08-30
Sold old furniture - payment received this month,39424,Others,income,2024-01-17
late night Behrouz Biryani order,2504,Food,expense,2026-04-02
video game purchase on steam for family,4650,Entertainment,expense,2025-04-25
Flight ticket booking to Chandigarh completed,10997,Travel,expense,2026-02-26
house rent for march,13544,Rent,expense,2023-10-04
Bus ticket to Ahmedabad for family,13554,Travel,expense,2024-12-06
Life insurance premium paid urgent,3529,Others,expense,2024-07-13
house rent for September today,42875,Rent,expense,2025-10-17
Flight ticket booking to Hyderabad this month,16237,Travel,expense,2023-07-28
Freelance writing payment received again,32740,Others,income,2023-09-21
Amazon purchase,22819,Shopping,expense,2026-07-27
Salary credited for April 2025,132526,Salary,income,2026-05-13
Board game cafe outing done,4217,Entertainment,expense,2025-09-12
LPG gas cylinder booking this month,16831,Others,expense,2024-12-10
New outfit purchased from Uniqlo completed,43415,Shopping,expense,2023-06-14
monthly grocery haul at more supermarket - paid online,2923,Food,expense,2026-05-01
book club membership fee via GPay,7653,Entertainment,expense,2024-02-28
Freelance project payment received via PhonePe,26083,Others,income,2024-12-19
rented apartment monthly dues,5694,Rent,expense,2024-05-04
winter clothes bought from lifestyle,18205,Shopping,expense,2026-03-03
Winter clothes bought from Zara again,15682,Shopping,expense,2023-02-05
Rapido bike ride to mall today,6840,Travel,expense,2023-02-24
rent due cleared for this month,38957,Rent,expense,2024-08-08
late night CCD order,2237,Food,expense,2024-07-07
Salary credited for February 2026 - noted,20055,Salary,income,2025-06-06
MOVIE TICKETS AT INOX,2318,Entertainment,expense,2024-08-30
AJIO SHOPPING HAUL,11694,Shopping,expense,2025-09-18
zoo entry tickets for family confirmed,615,Entertainment,expense,2025-11-26
bought clothes from uniqlo this month,10275,Shopping,expense,2025-04-30
Online order from Meesho this month,31512,Shopping,expense,2025-10-06
Sold old mobile phone - payment received completed,14011,Others,income,2024-07-16
Train ticket booked to Lucknow via IRCTC,2435,Travel,expense,2024-03-19
Family movie night at PVR - noted,8865,Entertainment,expense,2023-07-26
Refund received from Amazon (cash),20449,Others,income,2023-11-24
AMUSEMENT PARK TICKETS confirmed,5425,Entertainment,expense,2023-08-11
Ordered burger from Starbucks (cash),1051,Food,expense,2025-12-31
Rent paid via bank transfer,44543,Rent,expense,2024-02-07
Rent paid for January again,40626,Rent,expense,2024-12-13
Sold used books - payment received completed,36073,Others,income,2024-06-21
Prize money received from contest this month,716,Others,income,2025-06-05
Stock market profit withdrawn this month,21645,Others,income,2023-03-18
Airport cab prebooked confirmed,12698,Travel,expense,2026-06-28
shop rent payment for the month - paid online,30684,Rent,expense,2024-01-02
Home Wifi bill payment - noted,11993,Others,expense,2025-04-30
concert tickets booked confirmed,2870,Entertainment,expense,2023-12-01
Lunch with friends at office canteen confirmed,841,Food,expense,2024-08-24
Paying guest accommodation rent again,11712,Rent,expense,2024-03-22
Gift money received from relative for family,27340,Others,income,2024-06-20
Family movie night at Carnival Cinemas via GPay,2102,Entertainment,expense,2025-06-30
Cab fare to Surat for business trip via PhonePe,6495,Travel,expense,2023-11-27
Ajio shopping haul for family,32220,Shopping,expense,2026-02-27
Tax refund credited,37274,Others,income,2025-08-07
salary credited after tax deduction completed,134649,Salary,income,2026-01-01
Train ticket booked to Chandigarh via IRCTC via UPI,2356,Travel,expense,2025-08-29
Spotify premium payment this month,713,Entertainment,expense,2026-04-08
DIESEL REFILL FOR CAR,7313,Travel,expense,2024-03-31
Rent paid for June today,41549,Rent,expense,2025-03-04
Tax refund credited this month,24649,Others,income,2024-01-16
Netflix subscription this month,5692,Entertainment,expense,2025-01-11
Netflix subscription (cash),3806,Entertainment,expense,2024-11-22
Salary credited for October 2026 again,174479,Salary,income,2023-02-17
Chai and snacks at office urgent,1322,Food,expense,2023-08-10
Quick snack from McDonald's done,1774,Food,expense,2024-11-23
Flat rent for the month of August - paid online,24506,Rent,expense,2024-10-04
Bowling with friends via PhonePe,9012,Entertainment,expense,2025-08-11
rapido bike ride to home,119,Travel,expense,2023-02-03
Furniture bought for new house for family,40377,Shopping,expense,2023-10-13
Salary credited for July 2024 confirmed,54984,Salary,income,2025-05-16
evening snacks at roadside stall,1232,Food,expense,2026-04-22
weekly groceries from more supermarket completed,1538,Food,expense,2024-03-12
Studio apartment rent payment - noted,11985,Rent,expense,2023-11-13
uber ride to airport,12496,Travel,expense,2023-08-19
Cab fare to Jaipur for business trip - noted,10378,Travel,expense,2024-05-25
Comic con tickets booked via GPay,478,Entertainment,expense,2025-10-15
weekend movie outing at Carnival Cinemas via UPI,2347,Entertainment,expense,2024-08-11
FLIGHT TICKET BOOKING TO PUNE,7348,Travel,expense,2024-10-19
FESTIVE SALE SHOPPING ON MYNTRA,8485,Shopping,expense,2024-05-07
Rent paid for July - noted,46432,Rent,expense,2024-03-11
Online order from Myntra,25447,Shopping,expense,2023-08-01
Bus ticket to Hyderabad for family,13918,Travel,expense,2025-05-24
BOUGHT SKINCARE PRODUCTS,16298,Shopping,expense,2023-01-18
Stock market profit withdrawn for family,22115,Others,income,2024-07-24
CCD food delivery (cash),2627,Food,expense,2024-05-18
Weekend movie outing at Carnival Cinemas this month,3475,Entertainment,expense,2025-06-15
salary credited for March 2025 - paid online,57706,Salary,income,2025-10-26
Cab fare to Mumbai for business trip confirmed,4816,Travel,expense,2023-07-18
New outfit purchased from Levis via UPI,9086,Shopping,expense,2025-02-19
Movie tickets at Carnival Cinemas done,3448,Entertainment,expense,2024-09-15
rapido bike ride to railway station confirmed,2758,Travel,expense,2024-03-12
Spotify premium payment again,1018,Entertainment,expense,2023-11-07
Bowling with friends,5101,Entertainment,expense,2023-12-15
salary credited for december 2024 done,175419,Salary,income,2026-04-10
Amazon Prime Video subscription confirmed,5564,Entertainment,expense,2026-07-27
Uber ride to mall completed,12405,Travel,expense,2023-02-17
Salary credited for July 2026,63208,Salary,income,2025-10-26
Lunch with friends at dhaba - noted,2416,Food,expense,2025-10-25
TAKE HOME SALARY DEPOSITED,63575,Salary,income,2024-04-28
Part time job salary credited again,19628,Salary,income,2026-04-13
salary plus incentive credited,164802,Salary,income,2025-12-16
freelance project payment received again,33679,Others,income,2024-01-20
Monthly rent payment this month,23083,Rent,expense,2025-03-29
Salary credited for April 2024,171188,Salary,income,2023-05-13
Consulting salary credited completed,39946,Salary,income,2023-02-13
Hotstar subscription renewal via GPay,2762,Entertainment,expense,2024-05-18
House rent for July - noted,20077,Rent,expense,2023-08-14
House rent for January,34657,Rent,expense,2023-08-22
hotstar subscription renewal done,1725,Entertainment,expense,2025-02-20
Auto rickshaw fare to office for family,493,Travel,expense,2025-07-17
Interest credited on savings account again,15834,Others,income,2025-05-18
Part time job salary credited for family,184701,Salary,income,2024-07-24
Salary transfer via NEFT via UPI,158419,Salary,income,2023-05-05
SALARY RECEIVED FROM EMPLOYER via PhonePe,47393,Salary,income,2024-02-07
OVERTIME PAY CREDITED,181535,Salary,income,2024-01-26
Weekly groceries from Nature's Basket again,1973,Food,expense,2026-03-04
Monthly grocery haul at DMart today,2156,Food,expense,2026-03-15
auto rickshaw fare to friend's house,15400,Travel,expense,2025-06-22
Salary credited for February 2026,32180,Salary,income,2023-09-13
train ticket booked to lucknow via irctc - noted,10861,Travel,expense,2025-05-27
Rent paid for March - noted,30695,Rent,expense,2024-01-11
flight ticket booking to lucknow,6576,Travel,expense,2023-08-16
bank locker annual fee paid,1743,Others,expense,2026-02-01
Flipkart shopping haul urgent,32067,Shopping,expense,2023-09-13
Breakfast at hotel restaurant,1149,Food,expense,2025-01-25
Rent paid for June for family,30912,Rent,expense,2024-11-25
salary credited for June 2023,13575,Salary,income,2023-03-15
Spotify premium payment done,4530,Entertainment,expense,2025-07-08
Flat rent for the month of September today,21077,Rent,expense,2025-08-28
Furniture bought for new house - noted,40622,Shopping,expense,2025-02-01
Monthly grocery haul at local vegetable market,2570,Food,expense,2024-03-27
Electrician service payment this month,27220,Others,expense,2025-08-05
Uber ride to railway station completed,12127,Travel,expense,2025-05-16
Laptop repair service payment completed,6659,Others,expense,2024-08-29
Shopping at Zara this month,33277,Shopping,expense,2024-01-09
Paid house rent completed,35541,Rent,expense,2024-02-18
New outfit purchased from Lifestyle,2302,Shopping,expense,2025-10-29
HEALTH INSURANCE PREMIUM PAID again,12383,Others,expense,2023-03-08
Board game cafe outing completed,9649,Entertainment,expense,2025-01-29
Winter clothes bought from H&M again,26281,Shopping,expense,2026-06-20
Weekend movie outing at PVR via PhonePe,3282,Entertainment,expense,2024-10-14
society maintenance fee paid via PhonePe,3873,Others,expense,2023-10-11
UBER RIDE TO FRIEND'S HOUSE,17888,Travel,expense,2023-01-27
Standup comedy show tickets completed,751,Entertainment,expense,2023-10-03
Flat rent for the month of November,27412,Rent,expense,2023-06-05
Flight ticket booking to Mumbai this month,3856,Travel,expense,2026-03-22
ola cab booking to railway station,3324,Travel,expense,2023-07-09
Sports shoes purchased completed,8909,Shopping,expense,2024-10-31
Dinner at dhaba urgent,234,Food,expense,2025-01-28
Concert tickets booked urgent,3733,Entertainment,expense,2023-08-22
electricity bill payment,12393,Others,expense,2025-11-12
Ordered sushi from Swiggy done,2089,Food,expense,2026-05-28
Festive sale shopping on Ajio done,401,Shopping,expense,2026-06-25
Salary credited for May 2025 done,102203,Salary,income,2024-12-22
Rapido bike ride to railway station,18577,Travel,expense,2026-05-17
Salary credited for December 2023 confirmed,13406,Salary,income,2026-05-27
Evening snacks at college canteen this month,2293,Food,expense,2024-01-26
Auto rickshaw fare to client meeting this month,19954,Travel,expense,2024-08-21
payment received for tuition classes again,38785,Others,income,2024-10-06
Board game cafe outing urgent,6726,Entertainment,expense,2025-06-03
Sold old mobile phone - payment received via UPI,23272,Others,income,2023-09-23
electricity bill payment confirmed,22529,Others,expense,2025-10-21
Plumber service payment,20148,Others,expense,2024-03-31
Rent cheque cleared urgent,41284,Rent,expense,2025-11-13
New outfit purchased from Uniqlo again,38873,Shopping,expense,2025-11-27
Grocery shopping at Nature's Basket via GPay,2228,Food,expense,2025-04-25
flat rent for the month of March for family,5231,Rent,expense,2026-06-29
Shared flat rent contribution - noted,49908,Rent,expense,2023-09-07
Rent paid for September,41477,Rent,expense,2024-06-25
Ordered shawarma from Box8 (cash),672,Food,expense,2024-11-02
Monthly rent paid to society office,27170,Rent,expense,2025-11-29
Bought sunglasses - paid online,9394,Shopping,expense,2023-10-22
Dinner at office canteen via UPI urgent,1673,Food,expense,2026-06-14
winter clothes bought from Uniqlo,22675,Shopping,expense,2023-02-24
Salary credited for October 2024 completed,180470,Salary,income,2023-10-15
Bought curtains and bedsheets completed,44483,Shopping,expense,2026-01-15
Salary plus incentive credited this month,44314,Salary,income,2024-10-24
